"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.791587000E0,-6.999997616E0,2.843818855E1,-4.142142487E1,5.072933050E1
1.801600000E0,-6.799440861E0,2.849402046E1,-4.141646194E1,5.072932996E1
1.811608000E0,-6.799440861E0,2.849402046E1,-4.141646194E1,5.072932996E1
1.821616000E0,-6.291165829E0,2.880700111E1,-4.128005600E1,5.072933179E1
1.831628000E0,-6.088079453E0,2.885710335E1,-4.127550888E1,5.072932839E1
1.841636000E0,-6.088079453E0,2.885710335E1,-4.127550888E1,5.072932839E1
1.851616000E0,-5.686583996E0,2.894976234E1,-4.126789474E1,5.072933189E1
1.861654000E0,-5.488558292E0,2.899330711E1,-4.126413727E1,5.072933228E1
1.871662000E0,-5.488558292E0,2.899330711E1,-4.126413727E1,5.072933228E1
1.881642000E0,-4.791399002E0,2.930332184E1,-4.113176727E1,5.072932539E1
1.891680000E0,-4.593788624E0,2.933885193E1,-4.112899399E1,5.072933346E1
1.901688000E0,-4.593788624E0,2.933885193E1,-4.112899399E1,5.072933346E1
1.911673000E0,-4.195407391E0,2.940483665E1,-4.112443161E1,5.072932818E1
1.921707000E0,-3.995639563E0,2.943558311E1,-4.112232971E1,5.072932771E1
1.931715000E0,-3.995639563E0,2.943558311E1,-4.112232971E1,5.072932771E1
1.941703000E0,-3.528572798E0,2.953956413E1,-4.109049225E1,5.072933302E1
1.951714000E0,-3.262287140E0,2.959698486E1,-4.107116699E1,5.072932868E1
1.961722000E0,-3.262287140E0,2.959698486E1,-4.107116699E1,5.072932868E1
1.971730000E0,-2.728765011E0,2.967625046E1,-4.105287933E1,5.072932979E1
1.981761000E0,-2.523187160E0,2.969854355E1,-4.104990768E1,5.072932962E1
1.991769000E0,-2.523187160E0,2.969854355E1,-4.104990768E1,5.072932962E1
2.001758000E0,-2.104713440E0,2.974091148E1,-4.104281998E1,5.072932787E1
2.011787000E0,-1.893219709E0,2.976034164E1,-4.103903580E1,5.072932756E1
2.021795000E0,-1.893219709E0,2.976034164E1,-4.103903580E1,5.072932756E1
2.031791000E0,-1.408799291E0,2.982803154E1,-4.100937271E1,5.072932910E1
2.041813000E0,-1.141777396E0,2.987591553E1,-4.098281097E1,5.072932859E1
2.051821000E0,-1.141777396E0,2.987591553E1,-4.098281097E1,5.072932859E1
2.061818000E0,-7.159370184E-1,2.990430832E1,-4.097175598E1,5.072933087E1
2.071840000E0,-5.064954758E-1,2.991599464E1,-4.096634293E1,5.072932609E1
2.081848000E0,-5.064954758E-1,2.991599464E1,-4.096634293E1,5.072932609E1
2.091849000E0,-8.994030952E-2,2.993547249E1,-4.095515060E1,5.072933041E1
2.101861000E0,1.617412567E-1,2.995978737E1,-4.093714905E1,5.072933265E1
2.111869000E0,1.617412567E-1,2.995978737E1,-4.093714905E1,5.072933265E1
2.121879000E0,5.818332434E-1,2.997025871E1,-4.092566299E1,5.072932908E1
2.131889000E0,7.945125103E-1,2.997342682E1,-4.091976929E1,5.072933159E1
2.141897000E0,7.945125103E-1,2.997342682E1,-4.091976929E1,5.072933159E1
2.151909000E0,1.229766488E0,2.997578239E1,-4.090727234E1,5.072932866E1
2.161919000E0,1.510750413E0,2.995186043E1,-4.091538239E1,5.072932905E1
2.171927000E0,1.510750413E0,2.995186043E1,-4.091538239E1,5.072932905E1
2.181937000E0,1.957414150E0,2.994091606E1,-4.090445709E1,5.072932618E1
2.191946000E0,2.183290005E0,2.993248177E1,-4.089920044E1,5.072932896E1
2.201954000E0,2.183290005E0,2.993248177E1,-4.089920044E1,5.072932896E1
2.211937000E0,2.642400026E0,2.990788841E1,-4.089010620E1,5.072932931E1
2.221970000E0,2.927058697E0,2.985595894E1,-4.090866470E1,5.072932884E1
2.231978000E0,2.927058697E0,2.985595894E1,-4.090866470E1,5.072932884E1
2.241943417E0,3.407246113E0,2.982042503E1,-4.089740372E1,5.072932787E1
2.251932417E0,3.652395964E0,2.980133247E1,-4.089015961E1,5.072932649E1
2.261940417E0,3.652395964E0,2.980133247E1,-4.089015961E1,5.072932649E1
2.271960417E0,4.150089264E0,2.976227570E1,-4.087112045E1,5.072932862E1
2.281974417E0,4.437334061E0,2.975848198E1,-4.084370041E1,5.072933122E1
2.291982417E0,4.437334061E0,2.975848198E1,-4.084370041E1,5.072933122E1
2.301985417E0,4.939668655E0,2.970899391E1,-4.082205582E1,5.072932965E1
2.311996417E0,5.187377930E0,2.968001938E1,-4.081240463E1,5.072932891E1
2.322004417E0,5.187377930E0,2.968001938E1,-4.081240463E1,5.072932891E1
2.332005417E0,5.677813053E0,2.961627579E1,-4.079342270E1,5.072932769E1
2.342024417E0,5.940519333E0,2.960756302E1,-4.076232910E1,5.072933108E1
2.352032417E0,5.940519333E0,2.960756302E1,-4.076232910E1,5.072933108E1
2.362044417E0,6.426371574E0,2.953216362E1,-4.074331665E1,5.072932871E1
2.372051417E0,6.667912006E0,2.949056244E1,-4.073463440E1,5.072932843E1
2.382059417E0,6.667912006E0,2.949056244E1,-4.073463440E1,5.072932843E1
2.392073417E0,7.149115086E0,2.940180588E1,-4.071718216E1,5.072933036E1
2.402071417E0,7.388753891E0,2.935310745E1,-4.070953751E1,5.072933121E1
2.412079417E0,7.388753891E0,2.935310745E1,-4.070953751E1,5.072933121E1
2.422102417E0,7.864121437E0,2.924894333E1,-4.069544983E1,5.072932809E1
2.432092417E0,8.099838257E0,2.919322777E1,-4.068922806E1,5.072933281E1
2.442100417E0,8.099838257E0,2.919322777E1,-4.068922806E1,5.072933281E1
2.452132417E0,8.589141846E0,2.909290123E1,-4.066072845E1,5.072933173E1
2.462124417E0,8.856884956E0,2.905237961E1,-4.063225174E1,5.072933129E1
2.472132417E0,8.856884956E0,2.905237961E1,-4.063225174E1,5.072933129E1
2.482160417E0,9.348079681E0,2.893630409E1,-4.060503006E1,5.072932835E1
2.492172417E0,9.624109268E0,2.889385223E1,-4.057076263E1,5.072933034E1
2.502180417E0,9.624109268E0,2.889385223E1,-4.057076263E1,5.072933034E1
2.512190417E0,1.011792278E1,2.876090622E1,-4.054506683E1,5.072932616E1
2.522172417E0,1.038656044E1,2.870104790E1,-4.051955414E1,5.072933132E1
2.532180417E0,1.064579391E1,2.863523674E1,-4.049882889E1,5.072932931E1
2.542189417E0,1.087633038E1,2.855653954E1,-4.049314117E1,5.072933072E1
2.552227417E0,1.114856148E1,2.849069405E1,-4.046547699E1,5.072932976E1
2.562235417E0,1.142799568E1,2.842794800E1,-4.043164062E1,5.072932955E1
2.572218417E0,1.165910625E1,2.834241486E1,-4.042570877E1,5.072933242E1
2.582255417E0,1.194234943E1,2.827398682E1,-4.039092636E1,5.072933050E1
2.592263417E0,1.220488262E1,2.820576668E1,-4.036013412E1,5.072932939E1
2.602247417E0,1.243642998E1,2.811424255E1,-4.035330582E1,5.072932796E1
2.612281417E0,1.271276283E1,2.804824257E1,-4.031310654E1,5.072932888E1
2.622289417E0,1.296515274E1,2.796318626E1,-4.029180908E1,5.072932930E1
2.632277417E0,1.319537258E1,2.786591530E1,-4.028445816E1,5.072932744E1
2.642307417E0,1.344892883E1,2.777788162E1,-4.026140213E1,5.072932974E1
2.652315417E0,1.369458103E1,2.768443298E1,-4.024295425E1,5.072932827E1
2.662306417E0,1.392266178E1,2.758179855E1,-4.023516464E1,5.072932679E1
2.672334417E0,1.416536522E1,2.748657227E1,-4.021561813E1,5.072933243E1
2.682342417E0,1.440565395E1,2.738967705E1,-4.019636536E1,5.072933138E1
2.692335417E0,1.463038635E1,2.728139496E1,-4.018883133E1,5.072932958E1
2.702361417E0,1.487165356E1,2.718188858E1,-4.016769409E1,5.072932875E1
2.712369417E0,1.511083126E1,2.708325768E1,-4.014504623E1,5.072932884E1
2.722354417E0,1.533332443E1,2.696931076E1,-4.013739395E1,5.072933032E1
2.732388417E0,1.557334805E1,2.686507225E1,-4.011487961E1,5.072932921E1
2.742396417E0,1.557334805E1,2.686507225E1,-4.011487961E1,5.072932921E1
2.752387417E0,1.602973938E1,2.663788223E1,-4.008660507E1,5.072933294E1
2.762414417E0,1.626443863E1,2.652547646E1,-4.006659317E1,5.072932834E1
2.772422417E0,1.626443863E1,2.652547646E1,-4.006659317E1,5.072932834E1
2.782413417E0,1.672577667E1,2.628490448E1,-4.003519821E1,5.072932983E1
2.792441417E0,1.696372032E1,2.616874504E1,-4.001116943E1,5.072932785E1
2.802449417E0,1.696372032E1,2.616874504E1,-4.001116943E1,5.072932785E1
2.812430417E0,1.741615486E1,2.591593933E1,-3.998132706E1,5.072932953E1
2.822468417E0,1.764226341E1,2.578728104E1,-3.996537781E1,5.072932825E1
2.832476417E0,1.764226341E1,2.578728104E1,-3.996537781E1,5.072932825E1
2.842468417E0,1.808091927E1,2.551442719E1,-3.994445419E1,5.072933133E1
2.852494417E0,1.830212784E1,2.537588692E1,-3.993196106E1,5.072933110E1
2.862502417E0,1.830212784E1,2.537588692E1,-3.993196106E1,5.072933110E1
2.872501417E0,1.873980522E1,2.509120941E1,-3.990884399E1,5.072932996E1
2.882522417E0,1.900351906E1,2.495939636E1,-3.986677551E1,5.072933070E1
2.892530417E0,1.900351906E1,2.495939636E1,-3.986677551E1,5.072933070E1
2.902526417E0,1.944634628E1,2.466408157E1,-3.983701706E1,5.072933305E1
2.912548417E0,1.970991516E1,2.454879570E1,-3.977864838E1,5.072933069E1
2.922556417E0,1.970991516E1,2.454879570E1,-3.977864838E1,5.072933069E1
2.932554417E0,2.013812065E1,2.423723030E1,-3.975522232E1,5.072933015E1
2.942574417E0,2.035038185E1,2.407841110E1,-3.974363708E1,5.072932694E1
2.952582417E0,2.035038185E1,2.407841110E1,-3.974363708E1,5.072932694E1
2.962587417E0,2.076020622E1,2.374994087E1,-3.972932053E1,5.072932843E1
2.972600417E0,2.096677017E1,2.358805275E1,-3.971728897E1,5.072932808E1
2.982608417E0,2.096677017E1,2.358805275E1,-3.971728897E1,5.072932808E1
2.992600417E0,2.137842560E1,2.325474167E1,-3.969438934E1,5.072932718E1
3.002627417E0,2.158759499E1,2.309442520E1,-3.967478180E1,5.072933119E1
3.012635417E0,2.158759499E1,2.309442520E1,-3.967478180E1,5.072933119E1
3.022627417E0,2.199508667E1,2.275312042E1,-3.964815903E1,5.072932920E1
3.032653417E0,2.220768547E1,2.258462524E1,-3.962598038E1,5.072932990E1
3.042661417E0,2.220768547E1,2.258462524E1,-3.962598038E1,5.072932990E1
3.052660417E0,2.260341454E1,2.222826958E1,-3.960372162E1,5.072933159E1
3.062681417E0,2.280351257E1,2.204834938E1,-3.958958435E1,5.072933161E1
3.072689417E0,2.280351257E1,2.204834938E1,-3.958958435E1,5.072933161E1
3.082686417E0,2.318706322E1,2.168218803E1,-3.956902313E1,5.072932850E1
3.092707417E0,2.338671494E1,2.150094604E1,-3.955041885E1,5.072932828E1
3.102715417E0,2.338671494E1,2.150094604E1,-3.955041885E1,5.072932828E1
3.112709417E0,2.376617622E1,2.112966919E1,-3.952430725E1,5.072932994E1
3.122707417E0,2.395884132E1,2.094546700E1,-3.950602722E1,5.072932931E1
3.132715417E0,2.395884132E1,2.094546700E1,-3.950602722E1,5.072932931E1
3.142736417E0,2.433140945E1,2.056464767E1,-3.947837830E1,5.072932656E1
3.152761417E0,2.451945877E1,2.037355232E1,-3.946111298E1,5.072933008E1
3.162769417E0,2.451945877E1,2.037355232E1,-3.946111298E1,5.072933008E1
3.172757417E0,2.488366699E1,1.998658180E1,-3.943100739E1,5.072932760E1
3.182787417E0,2.506303024E1,1.978622627E1,-3.941845703E1,5.072933067E1
3.192795417E0,2.506303024E1,1.978622627E1,-3.941845703E1,5.072933067E1
3.202803417E0,2.542563057E1,1.938099289E1,-3.938755417E1,5.072933075E1
3.212813417E0,2.560063934E1,1.917407799E1,-3.937545776E1,5.072932757E1
3.222821417E0,2.560063934E1,1.917407799E1,-3.937545776E1,5.072932757E1
3.232802417E0,2.594903183E1,1.875789833E1,-3.934785843E1,5.072933043E1
3.242840417E0,2.612107849E1,1.854755783E1,-3.933372879E1,5.072932942E1
